Identifier	Character	Dialogue	Filename	Line Number
saidMagicWord_c12920f3	f	{i}Something{/i} weird is clearly going on around here. And it involves {i}my{/i} secret Hogwarts pickup stop, so I aim to get to the bottom of it.	game/convince.rpy	183
saidMagicWord_3ec57d49_1	f	...	game/convince.rpy	184
saidMagicWord_350f53d2	f	Okay, so here's what we'll do. I'll go to that spot now. You'll come and meet me there.	game/convince.rpy	185
saidMagicWord_6d0fdaa5	f	If we end up at the same spot, the spot which there is no {i}possible way{/i} you could know about, then you will have a lot of explaining to do.	game/convince.rpy	186
saidMagicWord_c677a7b1		There is a <<Click>> as the phone is hung up.	game/convince.rpy	187
randomPhrase_78ef9254		There is a pause, and the sound of someone rifling through the pages of a book.	game/convince.rpy	194
randomPhrase_9b70606d	f	Okay, I'll play along. I'm not sure what this will prove though.	game/convince.rpy	195
randomPhrase_6fa0db8e	f	I have a book here. I've just opened it up to a random page. Now what?	game/convince.rpy	196
randomPhrase_792e79cb	f	Okay... Are we doing some kind of fortune-cookie thing here?	game/convince.rpy	199
randomPhrase_77f8ff86	f	I'm on page... 144. The first sentence is {i}'What's 'pulling wobblers' mean?' he said'.{/i}	game/convince.rpy	200
randomPhrase_afa768d2	f	Not sure what that says about our future, but there it is.	game/convince.rpy	201
randomPhrase_c8e9faa2	f	So... Now what?	game/convince.rpy	203
randomPhrase_ac0ff955	f	Actually, I think I know what. I think I'm going to go have dinner.	game/convince.rpy	204
randomPhrase_e18a69f1	f	I think you've successfully convinced me that we shouldn't have dinner together.	game/convince.rpy	205
randomPhrase_ae9c5b7d	f	I'm just too weirded out now.	game/convince.rpy	206
randomPhrase_9d8b6304	f	We'll talk about this later, I guess. This has all been very strange.	game/convince.rpy	207
randomPhrase_5f633294	f	Okay...	game/convince.rpy	212
randomPhrase_5cfce78b	f	This whole conversation has been...	game/convince.rpy	213
randomPhrase_031b821f	f	Disquieting.	game/convince.rpy	214
randomPhrase_7bd5265b	f	You know what? I think maybe you're right.	game/convince.rpy	215
randomPhrase_77387115	f	I'm going to skip out tonight, and go grab dinner myself, I think.	game/convince.rpy	216
randomPhrase_a33aafd1	f	Don't worry, I'll try to make sure to stay away from [currentThreat].	game/convince.rpy	217
randomPhrase_5371d300		There is stunned silence for a moment.	game/convince.rpy	221
randomPhrase_3e868c43	f	How did you...	game/convince.rpy	222
randomPhrase_ec20a2c8	f	Are you... looking into my room somehow?	game/convince.rpy	223
randomPhrase_cdbd97ab	f	That's... that's really not cool, okay?	game/convince.rpy	224
randomPhrase_e8b51724	f	Really not cool.	game/convince.rpy	225
randomPhrase_2ca5d5cd	f	I think we're done here. I am not having dinner with a weirdo stalker.	game/convince.rpy	226
randomPhrase_7db86dfb	f	Good night.	game/convince.rpy	227
wentOnHerOwn_7e189477		After a few moments, there is the sound of an airplane, getting closer and closer, followed by one of the loudest noises you have ever heard.	game/convince.rpy	235
wentOnHerOwn_3732626c		The TV in the background switches to an emergency report about the plane crash and fires that are happening right now.	game/convince.rpy	236
wentOnHerOwn_c36f6bf1		Even before the news confirms it, though, you have a pretty good idea exactly who the plane crashed on top of.	game/convince.rpy	238
wentOnHerOwn_fd8d239e		{size=+10}~The End~{/size}\n\nYou didn't even get to have a date, and it still ended in disaster.	game/convince.rpy	241
hilltopConversationRoot_ab30e589		In the night's stillness, the sound of gunshots is quite clear, even from far away.	game/hilltopconversation.rpy	33
hilltopConversationRoot_0212b508		Several blinking police lights appear and trace their way towards the Burger Shack.	game/hilltopconversation.rpy	34
hilltopConversationRoot_d77229eb		Just as they start to arrive, there is a bright flash and another loud noise. The Burger Shack now seems to be very much on fire.	game/hilltopconversation.rpy	35
hilltopConversationRoot_f088d8b4	f	You know, I had been thinking about asking if you wanted to do burgers tonight.	game/hilltopconversation.rpy	36
hilltopConversationRoot_b7dfb263	f	Guess I can see how {i}that{/i} would have turned out.	game/hilltopconversation.rpy	37
hilltopConversationRoot_bebb406f		For a moment, neither of you can really see anything amiss, but then a motion catches your eye. Felicia obviously sees it too.	game/hilltopconversation.rpy	41
hilltopConversationRoot_1d5ffec2		At first it just looks like shadows flowing from rooftop to rooftop.	game/hilltopconversation.rpy	42
hilltopConversationRoot_4f893410	f	What are... are those... ninjas?	game/hilltopconversation.rpy	43
hilltopConversationRoot_96a20e18	f	Wow.	game/hilltopconversation.rpy	46
hilltopConversationRoot_287de5cf		She squints.	game/hilltopconversation.rpy	48
hilltopConversationRoot_08b401f4	f	Yeah, I'm pretty sure those are ninjas.	game/hilltopconversation.rpy	49
hilltopConversationRoot_a9f86f6a	f	But... That's stupid. Ninjas are Japanese. Why would they show up at a Thai restaurant?	game/hilltopconversation.rpy	51
hilltopConversationRoot_68a49215	f	This game of yours is kind of absurd, you know?	game/hilltopconversation.rpy	52
hilltopConversationRoot_d99772d5		The ninjas leap from rooftop to rooftop, almost eerie in the fluidity of their motion.	game/hilltopconversation.rpy	53
hilltopConversationRoot_510f0cab		When they reach the roof of the Thai restaurant, they regroup, and then, in one smooth movement, flip over the roof and into the windows.	game/hilltopconversation.rpy	54
hilltopConversationRoot_ce5083cb		The faint sound of yelling reaches you atop the hill.	game/hilltopconversation.rpy	55
hilltopConversationRoot_2ac5f618		She looks out toward the water. After a moment, she gives a small gasp.	game/hilltopconversation.rpy	58
hilltopConversationRoot_e4d2ec6c		The Taco Palace is covered in motion. At first it's difficult to tell exactly what is going on, but then your brain starts to piece together what you're seeing.	game/hilltopconversation.rpy	59
hilltopConversationRoot_73fefbc0		The entire building is covered in tentacles, livid green in the harsh illumination of the outdoor lamps.	game/hilltopconversation.rpy	60
hilltopConversationRoot_4f27f3a5		From the thrashing of the water, it is clear that they are attached to something truly massive.	game/hilltopconversation.rpy	61
hilltopConversationRoot_5b2c467d		It never becomes visible, though - Instead, the Taco Palace's supports buckle, and with a groan, the whole building is pulled into the churning water.	game/hilltopconversation.rpy	62
hilltopConversationRoot_e2a28fdc		Felicia is quiet, watching it sink under the waves.	game/hilltopconversation.rpy	63
hilltopConversationRoot_1861a3a7	f	You know, I never thought I'd say this, but some of these ways I apparently die are straight out of B-movies.	game/hilltopconversation.rpy	64
hilltopConversationRoot_23ff239f	f	Okay! I confess a certain amount of interest in the topic. Where do you want to start?	game/hilltopconversation.rpy	67
hilltopConversationRoot_18d9a9aa	f	Hah. That's a pretty big question.	game/hilltopconversation.rpy	74
hilltopConversationRoot_dc74a7a0	f	I assume you mean about the game you're playing, but you have to admit, game or no game, it's the right kind of question to be pondering on a hilltop, watching shooting stars.	game/hilltopconversation.rpy	76
hilltopConversationRoot_2cd343c1	f	I assume you mean about the game you're playing, but you have to admit, game or no game, it's the right kind of question to be pondering on a hilltop, looking up at the stars.	game/hilltopconversation.rpy	78
hilltopConversationRoot_1b8ddabc	f	Heck, I can't see the game. I mean, I see the absurd things that have been going on tonight. And your explanation rings true and all.	game/hilltopconversation.rpy	79
hilltopConversationRoot_b996e7a6	f	But from my point of view, I'm not in a game. And it's still a good question.	game/hilltopconversation.rpy	80
hilltopConversationRoot_13c7b430	f	Maybe the answers are the same?	game/hilltopconversation.rpy	81
hilltopConversationRoot_109d0490	f	You're basically asking 'why do bad things happen', right? That's something people have been asking since forever.	game/hilltopconversation.rpy	82
hilltopConversationRoot_91f4c074	f	Yeah, that would be kind of a tall order. So maybe that's not what this game is about.	game/hilltopconversation.rpy	85
hilltopConversationRoot_de72f33b	f	That question might just be tangential to whatever the author is trying to tell you.	game/hilltopconversation.rpy	86
hilltopConversationRoot_83c724dd	f	So maybe we're not asking the right question, then.	game/hilltopconversation.rpy	87
hilltopConversationRoot_36fd60a3	f	Yeah, I guess they do, don't they?	game/hilltopconversation.rpy	89
hilltopConversationRoot_56ec807c	f	Maybe we're asking the wrong question, then.	game/hilltopconversation.rpy	90
hilltopConversationRoot_e4de7666	f	After all, the game is clearly about {i}something{/i}.	game/hilltopconversation.rpy	91
hilltopConversationRoot_ca3b7eef	f	I don't know what the game looks like from your end, but from mine, well...	game/hilltopconversation.rpy	92
hilltopConversationRoot_1b8b77df	f	I can't see anyone going through the trouble of making a game as weird as this, without having {i}something{/i} on their mind that they wanted to say.	game/hilltopconversation.rpy	93
hilltopConversationRoot_96b819e4	f	Say - What does the game look like, anyway? To me, it just looks like, you know, life. What's it like for you?	game/hilltopconversation.rpy	94
hilltopConversationRoot_e249b7f3	f	Oh. That sounds pretty low-budget.	game/hilltopconversation.rpy	97
hilltopConversationRoot_90b667e9	f	That's too bad. If I'm not actually real, and my whole existence is actually a lie, and all that, it would be nice to at least know it was a high-budget lie with nice graphics.	game/hilltopconversation.rpy	98
hilltopConversationRoot_1dc00bc1	f	Okay, this time I know you're pulling my leg. I'm old enough to remember 'Blast Processing' too, you know.	game/hilltopconversation.rpy	100
hilltopConversationRoot_2ab6efee	f	WHAT? HOW DARE YOU MAKE FUN OF MY GAME.	game/hilltopconversation.rpy	102
hilltopConversationRoot_062037c6	f	SEE HOW CRAPPY IT IS ONCE I DELETE ALL YOUR SAVE GAMES!	game/hilltopconversation.rpy	103
hilltopConversationRoot_44f93b05	f	DELETING...	game/hilltopconversation.rpy	104
hilltopConversationRoot_6d158f71	f	Ahaha, was that convincing?	game/hilltopconversation.rpy	105
hilltopConversationRoot_1a27d636	f	Although... Now I'm wondering... Did I just say that because I thought it would be funny?	game/hilltopconversation.rpy	106
hilltopConversationRoot_c1d256ab	f	Or because an all-powerful disgruntled game author wrote me to {i}want{/i} to do it, and then made me try to explain it away as me just making a joke?	game/hilltopconversation.rpy	107
hilltopConversationRoot_80f96e03	f	And while we're going down the rabbit hole - did they then decide to lampshade the whole thing by making me wonder this?	game/hilltopconversation.rpy	108
hilltopConversationRoot_71c06a31	f	...If this {i}is{/i} all a game, then the person who wrote it seems kind of odd in the head.	game/hilltopconversation.rpy	109
hilltopConversationRoot_5d6fe7c8	f	Hey! That's kind of a personal question!	game/hilltopconversation.rpy	113
hilltopConversationRoot_8f6c5e0e		She giggles.	game/hilltopconversation.rpy	114
hilltopConversationRoot_067a0afc	f	I don't know. I'm not really sure how to answer that.	game/hilltopconversation.rpy	115
hilltopConversationRoot_49acf673	f	I mean, I haven't exactly been kicking over tombstones or tripping old gypsy ladies or anything lately.	game/hilltopconversation.rpy	116
hilltopConversationRoot_1b791e7b	f	I can honestly say that this is a bit outside my experience. So I don't really have any idea why it keeps happening.	game/hilltopconversation.rpy	117
hilltopConversationRoot_2b3822ee	f	How would you even go about diagnosing something like that?	game/hilltopconversation.rpy	118
hilltopConversationRoot_4e37ca0b	f	"Excuse me doctor, but can you tell me why I'm doomed?"	game/hilltopconversation.rpy	119
hilltopConversationRoot_c936e81c	f	I mean, I don't know. Let's think about this. How does it usually work in video games?	game/hilltopconversation.rpy	120
hilltopConversationRoot_b9ee21d0	f	Maybe I'm just supposed to die a tragic death, like Aeris or something.	game/hilltopconversation.rpy	121
hilltopConversationRoot_e7ed78e7	f	Oh come on, that game is nearly old enough to vote.	game/hilltopconversation.rpy	126
hilltopConversationRoot_fdff9c3b	f	The statute of limitations is {i}clearly{/i} up on that one.	game/hilltopconversation.rpy	127
hilltopConversationRoot_b3ea9949	f	Wait, seriously?	game/hilltopconversation.rpy	129
hilltopConversationRoot_9c8dac71	f	You never played Final Fantasy 7?	game/hilltopconversation.rpy	130
hilltopConversationRoot_48e7493d	f	I'm not sure if we can be friends any more.	game/hilltopconversation.rpy	131
hilltopConversationRoot_3461f207	f	Well, anyway, she was a character in a game. She died, and everyone got really upset.	game/hilltopconversation.rpy	132
hilltopConversationRoot_2b38c8c3	f	Because, you know, it was kind of out of the blue. Back then, games usually only killed side characters. Not core party-members that you'd had time to become invested in.	game/hilltopconversation.rpy	133
hilltopConversationRoot_167c04da	f	A lot of fans didn't take it well. They didn't like losing her, and didn't like realizing that there was absolutely nothing you could do to save her.	game/hilltopconversation.rpy	134
hilltopConversationRoot_b8a1d003	f	Anyway, maybe it's like that. I'm supposed to die in order to, you know, embolden you! Strengthen your resolve, so you can complete your epic quest!	game/hilltopconversation.rpy	135
hilltopConversationRoot_fcc824d7	f	Hehe.	game/hilltopconversation.rpy	136
hilltopConversationRoot_4a58287c	f	But on the other hand, if the game always ends right after I die, and if there are a bunch of ways I can die, then that does seem to imply that you're supposed to find a way to avoid it.	game/hilltopconversation.rpy	137
hilltopConversationRoot_dcb53f2b		She seems lost in thought for a moment, watching the falling stars streak across the sky.	game/hilltopconversation.rpy	139
hilltopConversationRoot_7e7049a8		She seems lost in thought for a moment.	game/hilltopconversation.rpy	141
hilltopConversationRoot_502a71f5	f	I suppose... I guess, don't take this the wrong way, but...	game/hilltopconversation.rpy	142
hilltopConversationRoot_7526fa4e	f	You could say I keep dying because of you.	game/hilltopconversation.rpy	143
hilltopConversationRoot_a624df83	f	But...	game/hilltopconversation.rpy	144
hilltopConversationRoot_9ddd14ea	f	On one hand, you could say I keep dying because we haven't figured out how to save me yet.	game/hilltopconversation.rpy	145
hilltopConversationRoot_28005685	f	But on a deeper level... You could say that I keep dying because you keep playing.	game/hilltopconversation.rpy	146
hilltopConversationRoot_8647dac0	f	For example, if you'd stopped after the first time I died, then I would have only died once.	game/hilltopconversation.rpy	147
hilltopConversationRoot_b21046b0	f	I'm not saying that's preferable. But what would happen to me, to the world, if you just stopped playing?	game/hilltopconversation.rpy	148
hilltopConversationRoot_3183da96	f	Would I stay dead? What if you quit the game before I died?	game/hilltopconversation.rpy	149
hilltopConversationRoot_ba792713	f	What happens to characters in a story, if the storyteller stops before he's done?	game/hilltopconversation.rpy	150
hilltopConversationRoot_7a07e692		She falls silent again, watching the shooting stars.	game/hilltopconversation.rpy	152
hilltopConversationRoot_8b26ec40		She falls silent again, lost in thought.	game/hilltopconversation.rpy	154
hilltopConversationRoot_e5634d5e	f	I don't know. I mean, you've done a reasonable job so far, right?	game/hilltopconversation.rpy	159
hilltopConversationRoot_e704f663	f	Apparently you've saved me from a lot of things that might have happened.	game/hilltopconversation.rpy	160
hilltopConversationRoot_65c1d956	f	So I guess you're doing okay so far.	game/hilltopconversation.rpy	161
hilltopConversationRoot_69116a47	f	Cheer up! You've managed to put off losing for a while.	game/hilltopconversation.rpy	164
hilltopConversationRoot_189766cc	f	How hard can it be to come up with a way to win?	game/hilltopconversation.rpy	165
hilltopConversationRoot_ae8be902	f	You'll figure it out. You got this far, right?	game/hilltopconversation.rpy	167
hilltopConversationRoot_645e517f	f	I wish I could be more help. I feel like I haven't been very helpful so far, except for occasionally following instructions to not die.	game/hilltopconversation.rpy	168
hilltopConversationRoot_e2d2e3ba	f	I guess if this really is all a video game, and I'm a character in it, and the game wants me dead, then I probably won't be allowed to just hand you the answer.	game/hilltopconversation.rpy	169
hilltopConversationRoot_3ec57d49	f	...	game/hilltopconversation.rpy	170
hilltopConversationRoot_5030fe8a	f	Hehehe.	game/hilltopconversation.rpy	171
hilltopConversationRoot_4f42672d	f	If this is a video game, and you're spending all of your time trying to save me, I wonder if that means it will get blasted for promoting unfortunate gender stereotypes.	game/hilltopconversation.rpy	172
hilltopConversationRoot_e104596f	f	"Yet another helpless video game girl to rescue! Why can't we advance the medium beyond these stone-age stereotypes, which always treat women as mere objects to be rescued!"	game/hilltopconversation.rpy	173
hilltopConversationRoot_9607574b	f	That would serve the author right.	game/hilltopconversation.rpy	174
hilltopConversationRoot_d7d4b3d0	f	Hmm. That's true, I guess.	game/hilltopconversation.rpy	176
hilltopConversationRoot_e505cb79	f	Although I guess one question I have is - what do you mean, 'win'?	game/hilltopconversation.rpy	177
hilltopConversationRoot_da8c1585	f	What would winning a game like this mean?	game/hilltopconversation.rpy	178
hilltopConversationRoot_2b807fbd	f	What exactly are you looking to get out of this?	game/hilltopconversation.rpy	179
hilltopConversationRoot_302f7d8f	f	Are you really just waiting for the game to pat you on the head, and say 'Well done, you finally did the right thing?'	game/hilltopconversation.rpy	187
hilltopConversationRoot_a4342cc3	f	Hmm.	game/hilltopconversation.rpy	188
hilltopConversationRoot_865e8f05	f	Well, how about this. I'm part of the game, right?	game/hilltopconversation.rpy	189
hilltopConversationRoot_b718643b	f	Can I do it?	game/hilltopconversation.rpy	190
hilltopConversationRoot_9b234044	f	Here -	game/hilltopconversation.rpy	191
hilltopConversationRoot_000a1142	f	Congratulations! A winner is you! You have beaten the game! Well done!	game/hilltopconversation.rpy	192
hilltopConversationRoot_ef95d6ba	f	I assume that made the message you were looking for show up on your screen.	game/hilltopconversation.rpy	193
hilltopConversationRoot_6bf60afe	f	Does that count?	game/hilltopconversation.rpy	195
hilltopConversationRoot_13d77dcb	f	Awesome! Glad I could help!	game/hilltopconversation.rpy	198
hilltopConversationRoot_a7819760	f	....	game/hilltopconversation.rpy	199
hilltopConversationRoot_152e2c5f	f	I'm still totally going to die from aliens, aren't I?	game/hilltopconversation.rpy	201
hilltopConversationRoot_681b785a	f	I'm still totally going to die in a few minutes, aren't I?	game/hilltopconversation.rpy	203
hilltopConversationRoot_782ca896	f	I'll believe my happy ending when I see it.	game/hilltopconversation.rpy	206
hilltopConversationRoot_577282c7	f	Figures.	game/hilltopconversation.rpy	208
hilltopConversationRoot_b4dcdbd4	f	That's too bad.	game/hilltopconversation.rpy	210
hilltopConversationRoot_401d8743	f	I guess I'm not 'official' enough or something?	game/hilltopconversation.rpy	211
hilltopConversationRoot_3502da92	f	I'd go grab my top-hat and monocle, but I doubt I have time, at this point.	game/hilltopconversation.rpy	212
hilltopConversationRoot_48a2c4af	f	So...	game/hilltopconversation.rpy	213
hilltopConversationRoot_0da3decb	f	You seem convinced that it's even possible to 'win' this game.	game/hilltopconversation.rpy	214
hilltopConversationRoot_1b3be626	f	How do you know that a 'good ending' even exists?	game/hilltopconversation.rpy	215
hilltopConversationRoot_06d3a9d7	f	Yeah, maybe. Although, not all books end happily. Maybe not all games do either?	game/hilltopconversation.rpy	218
hilltopConversationRoot_8e18fb3a	f	That does seem like a weird game to make though. A happy start to a day, and then just everything ending badly, no matter what you do.	game/hilltopconversation.rpy	219
hilltopConversationRoot_c11dccf0	f	I guess it could be a commentary on the pointlessness of life, and oh, the sadness, everything will die, woe is me.	game/hilltopconversation.rpy	220
hilltopConversationRoot_67e08710	f	But if I had to rate my life so far, or even my day so far, it doesn't {i}feel{/i} like a goth emo game of darkness and howling void.	game/hilltopconversation.rpy	221
hilltopConversationRoot_0ab1eb28	f	I don't know. I don't pretend to know what this is all about, but from what you've told me, and what I've seen, I don't think it's as simple as that.	game/hilltopconversation.rpy	222
hilltopConversationRoot_17ce54a9	f	But I don't think the author is just saying, 'Ha ha, you played my game with no ending for however long, you wasted your time, L-O-L'.	game/hilltopconversation.rpy	223
hilltopConversationRoot_dfabef7a	f	Hmm. That's usually true, I guess.	game/hilltopconversation.rpy	225
hilltopConversationRoot_0e61f9ad	f	I wonder if the author of the game agrees with you?	game/hilltopconversation.rpy	226
hilltopConversationRoot_b41103bc	f	I guess you could make a puzzle that was missing a piece or something, if you were trying to make a statement.	game/hilltopconversation.rpy	227
hilltopConversationRoot_1a70273d	f	Like a box of jigsaw pieces, missing a single piece, as a pretentious art installation.	game/hilltopconversation.rpy	228
hilltopConversationRoot_16aefd88	f	I don't know - does this game feel pretentious to you?	game/hilltopconversation.rpy	229
hilltopConversationRoot_62acbb94	f	Maybe that's not it then.	game/hilltopconversation.rpy	232
hilltopConversationRoot_d8f1fd97	f	Hmm. Could be, then.	game/hilltopconversation.rpy	234
hilltopConversationRoot_c77ce477	f	Maybe that's it, then. Maybe it's just there to make a statement for the sake of being a statement?	game/hilltopconversation.rpy	236
hilltopConversationRoot_5b054dbc	f	That does seem like an odd way to go about it, though...	game/hilltopconversation.rpy	237
hilltopConversationRoot_9ad7f685		She leans back and goes quiet for a moment.	game/hilltopconversation.rpy	239
hilltopConversationRoot_47e723f5		She leans back and looks up at all the shooting stars, lost in thought.	game/hilltopconversation.rpy	241
hilltopConversationRoot_fdc2277b	f	Although... I guess if you have a box full of jigsaw pieces, and you're missing a piece...	game/hilltopconversation.rpy	242
hilltopConversationRoot_e049e785	f	The message might just be... "Look outside the box..."	game/hilltopconversation.rpy	243
hilltopConversationRoot_026f37ee	f	I'm not sure.	game/hilltopconversation.rpy	245
hilltopConversationRoot_0db46e77	f	Maybe to see how long you'll look for one?	game/hilltopconversation.rpy	246
hilltopConversationRoot_52b58bfc	f	Or to bring attention to the idea that not all mazes {i}have{/i} exits?	game/hilltopconversation.rpy	247
hilltopConversationRoot_297e70bc	f	Or maybe it's just to force you to pick for yourself where you want to stop, rather than pointing to a spot and telling you that it's where you should try to go?	game/hilltopconversation.rpy	248
hilltopConversationRoot_9ae3eefd	f	Well, according to you, what you're missing is the answer to a puzzle.	game/hilltopconversation.rpy	252
